,indexID,ticker,porgFullName,secShortName,exchangeCD,tradeDate,preCloseIndex,openIndex,lowestIndex,highestIndex,closeIndex,turnoverVol,turnoverValue,CHG,CHGPct
277,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1992-05-07,2298.3,2321.86,2137.02,2336.32,2228.78,12251200.0,277875008.0,-69.52,-0.030248
278,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1992-05-08,2228.78,2239.89,2181.96,2315.99,2220.07,11245800.0,268723008.0,-8.71,-0.003908
279,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1992-05-11,2220.07,2234.62,2159.0,2305.55,2294.25,10939100.0,234068992.0,74.18,0.033413
280,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1992-05-12,2294.25,2305.42,2298.91,2458.66,2427.14,12386500.0,291200992.0,132.89,0.057923
281,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1992-05-13,2427.14,2443.46,2403.47,2510.66,2452.9,14309800.0,339665984.0,25.76,0.010613
282,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1992-05-14,2452.9,2467.11,2377.09,2495.21,2458.3,12460900.0,287742016.0,5.4,0.002201
283,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1992-05-15,2458.3,2467.2,2423.4,2537.31,2511.75,12258100.0,283929984.0,53.45,0.021743
284,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1992-05-18,2511.75,2542.48,2490.58,2620.51,2590.97,12498600.0,303768992.0,79.22,0.03154
285,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1992-05-19,2590.97,2629.81,2589.62,2773.13,2725.05,14515400.0,374190016.0,134.08,0.051749
286,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1992-05-20,2725.05,2747.73,2645.28,2837.17,2661.33,13459900.0,371300992.0,-63.72,-0.023383
287,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1992-05-21,2661.33,2663.0,2542.81,2709.89,2678.41,11087700.0,281639008.0,17.08,0.006418
288,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1992-05-22,2678.41,2686.05,2626.15,2729.65,2679.22,12710900.0,332152992.0,0.81,0.000302
289,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1992-05-25,2679.22,2696.22,2656.21,2768.86,2753.44,13793700.0,373047008.0,74.22,0.027702
290,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1992-05-26,2753.44,2769.75,2748.8,2853.19,2828.99,13233600.0,363295008.0,75.55,0.027438
291,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1992-05-27,2828.99,2846.43,2799.46,2900.5,2832.33,10740800.0,306172000.0,3.34,0.001181
292,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1992-05-28,2832.33,2837.1,2733.13,2843.52,2783.92,9882300.0,281008000.0,-48.41,-0.017092
293,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1992-05-29,2783.92,2783.62,2707.87,2795.36,2766.85,9470200.0,270078016.0,-17.07,-0.006132
294,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1992-06-01,2766.85,2777.98,2754.24,2861.49,2792.75,11360400.0,334108992.0,25.9,0.009361
295,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1992-06-02,2792.75,2800.24,2667.95,2800.91,2718.53,9059500.0,260811008.0,-74.22,-0.026576
296,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1992-06-03,2718.53,2724.02,2496.36,2726.32,2516.62,7791500.0,207804992.0,-201.91,-0.074272
297,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1992-06-04,2516.62,2486.13,2288.36,2569.8,2536.52,14482100.0,352560000.0,19.9,0.007907
298,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1992-06-05,2536.52,2544.84,2509.78,2626.66,2557.03,12797700.0,353396992.0,20.51,0.008086
299,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1992-06-08,2557.03,2577.88,2439.25,2594.64,2514.55,9117200.0,229128000.0,-42.48,-0.016613
300,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1992-06-09,2514.55,2517.4,2347.33,2524.83,2381.34,6656100.0,156295008.0,-133.21,-0.052976
