,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,negMarketValue,dealAmount,turnoverRate,accumAdjFactor,turnoverValue,marketValue,isOpen
0,601088.XSHG,601088,中国神华,XSHG,2007-10-09,24.181,36.99,44.452,46.087,44.452,45.302,465128288,87318000000.0,,0.3691,0.6537092328,32254081000,1.37835069753e+12,1
1,601088.XSHG,601088,中国神华,XSHG,2007-10-10,45.302,69.3,46.093,49.832,45.753,49.832,86721784,96049800000.0,,0.0688,0.6537092328,6395510300,1.51618576728e+12,1
2,601088.XSHG,601088,中国神华,XSHG,2007-10-11,49.832,76.23,52.624,54.814,51.97,54.814,160744944,1.05651e+11,,0.1276,0.6537092328,13137212400,1.66774467515e+12,1
3,601088.XSHG,601088,中国神华,XSHG,2007-10-12,54.814,83.85,57.526,60.298,55.578,60.22,169347152,1.160712e+11,,0.1344,0.6537092328,15015481300,1.83223183631e+12,1
4,601088.XSHG,601088,中国神华,XSHG,2007-10-15,60.22,92.12,60.272,62.024,57.912,59.403,94149096,1.144962e+11,,0.0747,0.6537092328,8629060600,1.80736981075e+12,1
5,601088.XSHG,601088,中国神华,XSHG,2007-10-16,59.403,90.87,59.553,60.135,56.873,59.154,69162152,1.140174e+11,,0.0549,0.6537092328,6184574000,1.79981175497e+12,1
6,601088.XSHG,601088,中国神华,XSHG,2007-10-17,59.154,90.49,58.102,58.749,56.984,57.539,55333020,1.109052e+11,,0.0439,0.6537092328,4887916000,1.75068439245e+12,1
7,601088.XSHG,601088,中国神华,XSHG,2007-10-18,57.539,88.02,56.873,57.2,53.343,53.774,78489528,1.036476e+11,,0.0623,0.6537092328,6605763600,1.63612017863e+12,1
8,601088.XSHG,601088,中国神华,XSHG,2007-10-19,53.774,82.26,54.977,55.435,53.604,54.663,50557216,1.053612e+11,,0.0401,0.6537092328,4218570500,1.66317006245e+12,1
9,601088.XSHG,601088,中国神华,XSHG,2007-10-22,54.663,83.62,53.212,53.866,51.368,51.806,47434676,99855000000.0,,0.0376,0.6537092328,3807528700,1.57625242106e+12,1
10,601088.XSHG,601088,中国神华,XSHG,2007-10-23,51.806,79.25,51.97,52.872,50.126,52.329,57133992,1.00863e+11,,0.0453,0.6537092328,4514083800,1.59216411742e+12,1
11,601088.XSHG,601088,中国神华,XSHG,2007-10-24,52.329,80.05,52.493,54.487,51.316,52.709,58257848,1.015938e+11,,0.0462,0.6537092328,4704169500,1.60370009729e+12,1
12,601088.XSHG,601088,中国神华,XSHG,2007-10-25,52.709,80.63,51.565,52.297,50.068,50.408,45049432,97158600000.0,,0.0358,0.6537092328,3497146620,1.53368863329e+12,1
13,601088.XSHG,601088,中国神华,XSHG,2007-10-26,50.408,77.11,50.009,51.493,49.878,50.689,30288816,97700400000.0,,0.024,0.6537092328,2350085890,1.54224117008e+12,1
14,601088.XSHG,601088,中国神华,XSHG,2007-10-29,50.689,77.54,51.185,52.97,50.336,51.643,27511372,99540000000.0,,0.0218,0.6537092328,2177963780,1.57128001594e+12,1
15,601088.XSHG,601088,中国神华,XSHG,2007-10-30,51.643,79.0,51.97,54.709,51.055,54.225,37292136,1.04517e+11,,0.0296,0.6537092328,3037181950,1.64984401674e+12,1
16,601088.XSHG,601088,中国神华,XSHG,2007-10-31,54.225,82.95,54.918,55.238,52.957,53.402,35237012,1.029294e+11,,0.028,0.6537092328,2903415040,1.62478309497e+12,1
17,601088.XSHG,601088,中国神华,XSHG,2007-11-01,53.402,81.69,53.473,54.506,52.604,52.63,25586270,1.014426e+11,,0.0203,0.6537092328,2095145600,1.60131334283e+12,1
