date,open,high,low,close,volume
2005-01-04,994.77,994.77,980.66,982.79,741286900
2005-01-05,981.58,997.32,979.88,992.56,711910900
2005-01-06,993.33,993.79,980.33,983.17,628802900
2005-01-07,983.05,995.71,979.81,983.96,729869400
2005-01-10,983.76,993.96,979.79,993.88,579169800
2005-01-11,994.19,999.55,991.09,997.14,584908000
2005-01-12,996.65,996.98,989.26,996.75,501452500
2005-01-13,996.08,999.47,992.7,996.88,604406600
2005-01-14,996.62,1006.46,987.23,988.31,729784200
2005-01-17,979.11,981.53,965.08,967.45,728818900
2005-01-18,967.37,974.87,960.29,974.69,731184800
2005-01-19,974.33,974.33,965.26,967.21,633809100
2005-01-20,963.21,963.21,952.23,956.25,772710600
2005-01-21,954.46,984.27,943.44,982.6,1445006000
2005-01-24,1001.85,1001.85,986.24,998.13,1435946200
2005-01-25,995.64,997.95,985.24,997.78,986252900
2005-01-26,995.78,999.47,988.48,989.93,766329000
2005-01-27,987.34,987.7,973.77,974.63,694536500
2005-01-28,974.63,975.62,965.21,969.21,574880700
2005-01-31,965.79,965.79,953.14,954.88,678870600
2005-02-01,953.33,965.48,952.74,955.95,743306700
2005-02-02,956.7,1006.93,956.7,1006.91,1705733800
2005-02-03,1005.56,1014.19,992.16,993.22,1697454000
2005-02-04,992.25,1021.03,989.94,1016.86,1573621500
2005-02-16,1023.32,1033.25,1018.49,1023.58,1213129300
2005-02-17,1024.43,1024.43,1010.48,1020.61,896829800
2005-02-18,1020.12,1021.2,1005.63,1006.06,813993900
2005-02-21,1006.69,1025.66,1006.69,1025.63,988609400
2005-02-22,1026.84,1048.68,1024.53,1046.74,1793784200
2005-02-23,1046.81,1049.61,1036.63,1043.94,1869693000
2005-02-24,1042.25,1045.96,1034.73,1045.46,1468178900
2005-02-25,1046.27,1059.48,1045.98,1046.76,1817000400
2005-02-28,1046.21,1048.28,1035.04,1039.99,1297104600
2005-03-01,1039.35,1042.74,1031.17,1035.93,996209000
2005-03-02,1036.37,1045.76,1021.0,1021.32,1422513600
2005-03-03,1019.88,1028.4,1014.75,1027.71,920308600
2005-03-04,1027.93,1031.85,1022.18,1023.67,817364100
2005-03-07,1024.48,1031.34,1024.48,1029.87,793295000
2005-03-08,1033.79,1049.29,1032.85,1048.99,1429579400
2005-03-09,1051.26,1054.64,1041.98,1046.54,1532748800
2005-03-10,1046.69,1046.69,1019.63,1022.41,1329595300
2005-03-11,1021.08,1028.12,1016.93,1027.43,1147638100
2005-03-14,1027.18,1041.57,1014.93,1031.03,1446608900
2005-03-15,1030.86,1030.94,1011.64,1013.52,1200749300
2005-03-16,1011.85,1012.2,995.97,1003.07,1062278300
2005-03-17,1001.97,1004.82,992.12,992.86,996901100
2005-03-18,991.89,996.4,975.71,978.67,965206000
2005-03-21,977.3,983.18,973.0,981.89,725256500
2005-03-22,981.71,982.14,959.56,964.02,1137571700
2005-03-23,962.82,975.36,955.99,959.01,1093005400
2005-03-24,957.43,965.06,948.53,964.8,926071500
2005-03-25,964.25,966.97,959.06,962.96,710732300
2005-03-28,961.65,961.65,948.81,960.7,666924600
2005-03-29,960.42,968.12,954.74,955.19,757737900
