,indexID,ticker,porgFullName,secShortName,exchangeCD,tradeDate,preCloseIndex,openIndex,lowestIndex,highestIndex,closeIndex,turnoverVol,turnoverValue,CHG,CHGPct
0,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,1990-12-19,,96.05,95.79,99.98,99.98,126000,494300.0,,
1,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,1990-12-20,99.98,104.3,99.98,104.39,104.39,19700,84992.0,4.41,0.044109
2,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,1990-12-21,104.39,109.07,103.73,109.13,109.13,2800,16096.0,4.74,0.045407
3,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,1990-12-24,109.13,113.57,109.13,114.55,114.55,3200,31063.0,5.42,0.049666
4,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,1990-12-25,114.55,120.09,114.55,120.25,120.25,1500,6510.0,5.7,0.04976
5,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,1990-12-26,120.25,125.27,120.25,125.27,125.27,10000,53730.0,5.02,0.041746
6,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,1990-12-27,125.27,125.27,125.27,125.28,125.28,6600,104644.0,0.01,8e-05
7,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,1990-12-28,125.28,126.39,125.28,126.45,126.45,10800,88031.0,1.17,0.009339
8,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,1990-12-31,126.45,126.56,126.48,127.61,127.61,7800,60030.0,1.16,0.009174
9,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,1991-01-02,127.61,127.61,127.61,128.84,128.84,9100,59098.0,1.23,0.009639
10,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,1991-01-03,128.84,128.84,128.84,130.14,130.14,14100,93918.0,1.3,0.01009
11,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,1991-01-04,130.14,131.27,130.14,131.44,131.44,42000,261904.0,1.3,0.009989
12,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,1991-01-07,131.44,131.99,131.45,132.06,132.06,21700,141737.0,0.62,0.004717
13,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,1991-01-08,132.06,132.62,132.06,132.68,132.68,292600,1806867.0,0.62,0.004695
14,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,1991-01-09,132.68,133.3,132.68,133.34,133.34,560300,3228719.0,0.66,0.004974
15,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,1991-01-10,133.34,133.93,133.34,133.97,133.97,999000,5399457.0,0.63,0.004725
16,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,1991-01-11,133.97,134.61,134.51,134.61,134.6,1332700,7115732.0,0.63,0.004703
17,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,1991-01-14,134.6,134.11,134.11,135.19,134.67,1253000,6883604.0,0.07,0.00052
18,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,1991-01-15,134.67,134.21,134.19,134.74,134.74,144600,1010364.0,0.07,0.00052
19,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,1991-01-16,134.74,134.19,134.14,134.74,134.24,50900,270133.0,-0.5,-0.003711
20,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,1991-01-17,134.24,133.67,133.65,134.25,134.25,65800,334238.0,0.01,7.4e-05
21,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,1991-01-18,134.25,133.7,133.67,134.25,134.24,300400,1570833.0,-0.01,-7.4e-05
22,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,1991-01-21,134.24,133.7,133.66,134.24,134.24,205100,1029305.0,0.0,0.0
23,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,1991-01-22,134.24,133.72,133.66,134.24,133.72,35400,180787.0,-0.52,-0.003874
24,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,1991-01-23,133.72,133.17,133.14,133.72,133.17,109500,575928.0,-0.55,-0.004113
25,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,1991-01-24,133.17,132.61,132.57,133.17,132.61,185700,917392.0,-0.56,-0.004205
26,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,1991-01-25,132.61,132.05,132.03,132.07,132.05,344700,1722246.0,-0.56,-0.004223
27,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,1991-01-28,132.05,131.46,131.46,131.55,131.46,510700,2565573.0,-0.59,-0.004468
28,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,1991-01-29,131.46,130.95,130.95,130.97,130.95,138700,710741.0,-0.51,-0.00388
29,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,1991-01-30,130.95,130.44,130.41,130.95,130.44,52700,260701.0,-0.51,-0.003895
30,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,1991-01-31,130.44,129.93,129.93,130.46,129.97,51000,244662.0,-0.47,-0.003603
31,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,1991-02-01,129.97,129.5,129.45,129.97,129.51,34500,140871.0,-0.46,-0.003539
32,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,1991-02-04,129.51,129.05,129.05,129.58,129.05,55300,273652.0,-0.46,-0.003552
33,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,1991-02-05,129.05,128.56,128.53,128.58,128.58,856200,4250084.0,-0.47,-0.003642
34,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,1991-02-06,128.58,129.13,128.06,129.15,129.14,664100,3847268.0,0.56,0.004355
35,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,1991-02-07,129.14,129.74,129.14,129.79,129.79,213300,1504814.0,0.65,0.005033
36,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,1991-02-08,129.79,130.36,129.79,130.39,130.38,123400,879868.0,0.59,0.004546
