code,code_name,peTTM
sh.600030,中信证券,14.12
sh.600998,九州通,14.18
sh.603185,上机数控,14.27
sz.002416,爱施德,14.33
sz.002867,周大生,14.44
sh.600111,北方稀土,14.45
sz.300463,迈克生物,14.45
sh.688009,中国通号,14.48
sz.002266,浙富控股,14.52
sz.000062,深圳华强,14.59
sh.601728,中国电信,14.69
sh.600216,浙江医药,14.69
sz.000786,北新建材,14.76
sh.600236,桂冠电力,14.81
sz.002001,新和成,14.88
sh.601766,中国中车,15.01
sz.002493,荣盛石化,15.07
sh.600392,盛和资源,15.08
sh.603993,洛阳钼业,15.09
sz.000977,浪潮信息,15.13
sz.000878,云南铜业,15.18
sh.603026,石大胜华,15.24
sz.001979,招商蛇口,15.31
sz.002815,崇达技术,15.34
sh.603515,欧普照明,15.37
sh.600580,卧龙电驱,15.4
sh.600352,浙江龙盛,15.45
sh.600380,健康元,15.53
sh.600167,联美控股,15.56
sz.000703,恒逸石化,15.58
sh.600309,万华化学,15.65
sz.002353,杰瑞股份,15.67
sz.002408,齐翔腾达,15.71
sz.000050,深天马A,15.78
sh.600909,华安证券,15.8
sh.600787,中储股份,15.84
sz.000063,中兴通讯,15.98
sh.600415,小商品城,15.99
sz.000709,河钢股份,15.99
sz.000895,双汇发展,16.23
sz.000166,申万宏源,16.23
sh.600837,海通证券,16.43
sh.600690,海尔智家,16.45
sz.000156,华数传媒,16.54
sz.300073,当升科技,16.54
sz.000776,广发证券,16.69
sz.002110,三钢闽光,16.69
sh.600299,安迪苏,16.74
sh.601828,美凯龙,16.75
sz.000728,国元证券,16.79
sh.600968,海油发展,16.84
sh.601108,财通证券,16.91
sh.600079,人福医药,16.95
sh.600160,巨化股份,16.99
sz.000625,长安汽车,17.06
sh.601877,正泰电器,17.11
sz.000513,丽珠集团,17.2
sh.600967,内蒙一机,17.3
sz.001203,大中矿业,17.33
sz.002444,巨星科技,17.34
sh.600025,华能水电,17.37
sz.300769,德方纳米,17.5
sh.600486,扬农化工,17.69
sz.002595,豪迈科技,17.7
sz.002709,天赐材料,17.74
sz.002563,森马服饰,17.74
sh.600233,圆通速递,17.94
sh.601377,兴业证券,17.94
sh.601636,旗滨集团,18.02
sh.603228,景旺电子,18.02
sz.000157,中联重科,18.14
sh.600835,上海机电,18.27
sz.000623,吉林敖东,18.28
sz.000425,徐工机械,18.32
sz.002202,金风科技,18.34
sh.603156,养元饮品,18.34
sz.002008,大族激光,18.35
sh.603858,步长制药,18.4
sh.601139,深圳燃气,18.43
sh.600900,长江电力,18.44
sz.002821,凯莱英,18.45
sh.600157,永泰能源,18.5
sh.601600,中国铝业,18.72
sz.002396,星网锐捷,18.78
sz.002384,东山精密,18.88
sz.002281,光迅科技,18.88
sz.300741,华宝股份,18.9
sh.600598,北大荒,18.97
sh.600062,华润双鹤,18.99
sh.600956,新天绿能,19.05
sz.002925,盈趣科技,19.07
sz.300037,新宙邦,19.15
sz.000661,长春高新,19.21
sz.000883,湖北能源,19.22
sz.300308,中际旭创,19.27
sh.600637,东方明珠,19.5
sh.688036,传音控股,19.52
sz.000563,陕国投A,19.52
sh.601200,上海环境,19.56
sh.601228,广州港,19.58
sh.603444,吉比特,19.63
sh.601788,光大证券,19.63
sh.600549,厦门钨业,19.66
sh.601555,东吴证券,19.78
sh.603589,口子窖,19.9
sh.600489,中金黄金,20.07
sz.002701,奥瑞金,20.1
sh.601995,中金公司,20.21
sz.002745,木林森,20.23
sh.603355,莱克电气,20.28
sz.002129,TCL中环,20.35
sh.600673,东阳光,20.64
sz.000338,潍柴动力,20.67
sz.002032,苏泊尔,20.68
sz.002841,视源股份,20.68
sh.601066,中信建投,20.69
sh.603568,伟明环保,20.7
sz.000528,柳工,20.8
sz.000021,深科技,20.94
sh.688169,石头科技,20.95
sz.000999,华润三九,20.96
sh.600183,生益科技,20.97
sz.002203,海亮股份,21.0
sz.000559,万向钱潮,21.03
sz.000970,中科三环,21.15
sh.600660,福耀玻璃,21.16
sh.600050,中国联通,21.17
sh.603799,华友钴业,21.28
sh.688819,天能股份,21.29
sz.300122,智飞生物,21.31
sz.300866,安克创新,21.37
sh.600109,国金证券,21.59
sh.600606,绿地控股,21.69
sz.300529,健帆生物,21.86
sz.002415,海康威视,22.0
sz.300088,长信科技,22.01
sh.600171,上海贝岭,22.02
sz.000967,盈峰环境,22.1
sh.601058,赛轮轮胎,22.1
sz.300888,稳健医疗,22.35
sz.002831,裕同科技,22.37
