id,open,high,low,close,volume,interests,roi,day,rate,warrant
'122598', 104.41, 104.41, 103.41, 103.41, 200.0, u'1.8955', 6.32, 101, 'AA+', 'AA'
'122711', 0.0, 0.0, 0.0, 0.0, 0.0, u'4.8378', 6.31, 218, 'AA', 'AA'
'122575', 0.0, 0.0, 0.0, 0.0, 0.0, u'1.2644', 6.3, 65, 'AA', 'AA'
'111056', 0.0, 0.0, 0.0, 0.0, 0.0, u'2.6630', 6.3, 150, 'AA+', 'AA'
'124117', 0.0, 0.0, 0.0, 0.0, 0.0, u'5.3895', 6.29, 291, 'AA', 'AA'
'111060', 0.0, 0.0, 0.0, 0.0, 0.0, u'4.8144', 6.29, 223, 'AA+', 'AA'
'124393', 0.0, 0.0, 0.0, 0.0, 0.0, u'6.9700', 6.28, 365, 'AA', 'AA'
'122581', 102.7, 102.7, 102.7, 102.7, 1.0, u'2.3230', 6.27, 122, 'AA', 'AA'
'122680', 0.0, 0.0, 0.0, 0.0, 0.0, u'3.9145', 6.27, 188, 'AA+', 'AA+'
'122623', 0.0, 0.0, 0.0, 0.0, 0.0, u'2.0061', 6.26, 108, 'AA+', 'AA'
'122630', 0.0, 0.0, 0.0, 0.0, 0.0, u'2.6641', 6.24, 143, 'AA', 'AA'
'122707', 0.0, 0.0, 0.0, 0.0, 0.0, u'4.6560', 6.24, 205, 'AA+', 'AA'
'122828', 0.0, 0.0, 0.0, 0.0, 0.0, u'4.9260', 6.23, 232, 'AA+', 'AA'
'122920', 0.0, 0.0, 0.0, 0.0, 0.0, u'4.8687', 6.23, 251, 'AA+', 'AA'
'124250', 0.0, 0.0, 0.0, 0.0, 0.0, u'3.2263', 6.22, 184, 'AA', 'AA'
'112210', 0.0, 0.0, 0.0, 0.0, 0.0, u'2.1638', 6.2, 110, 'AA', 'AA'
'122589', 0.0, 0.0, 0.0, 0.0, 0.0, u'1.1558', 6.19, 59, 'AA+', 'AA'
'124590', 0.0, 0.0, 0.0, 0.0, 0.0, u'4.1900', 6.18, 213, 'AA+', 'AA+'
'124751', 0.0, 0.0, 0.0, 0.0, 0.0, u'3.0302', 6.17, 156, 'AA', 'AA'
'122514', 0.0, 0.0, 0.0, 0.0, 0.0, u'5.1232', 6.15, 361, 'AAA', 'AA+'
'124035', 0.0, 0.0, 0.0, 0.0, 0.0, u'5.6808', 6.14, 319, 'AA+', 'AA'
'124070', 0.0, 0.0, 0.0, 0.0, 0.0, u'5.9938', 6.14, 309, 'AA', 'AA'
'124262', 0.0, 0.0, 0.0, 0.0, 0.0, u'3.6707', 6.14, 203, 'AA', 'AA'
'122648', 0.0, 0.0, 0.0, 0.0, 0.0, u'4.6408', 6.13, 212, 'AA+', 'AA'
'122848', 0.0, 0.0, 0.0, 0.0, 0.0, u'5.4612', 6.13, 294, 'AA', 'AA'
