'122752', 7.1, 251, 0.0, 'AA+', 'AA'
'124524', 7.1, 153, 1984.0, 'AA+', 'AA'
'122893', 7.09, 321, 0.0, 'AA', 'AA'
'122711', 7.08, 132, 5000.0, 'AA', 'AA'
'122798', 7.07, 32, 11.0, 'AA', 'AA'
'124278', 7.07, 89, 0.0, 'AA', 'AA'
'122707', 7.02, 119, 891.0, 'AA+', 'AA'
'122718', 7.02, 123, 1758.0, 'AA+', 'AA'
'111059', 7.02, 233, 0.0, 'AA+', 'AA'
'122649', 7.01, 109, 0.0, 'AA+', 'AA'
'122875', 7.01, 227, 30.0, 'AA', 'AA'
'124608', 7.01, 125, 0.0, 'AA+', 'AA'
'122852', 7.0, 208, 0.0, 'AA', 'AA'
'122549', 6.99, 302, 0.0, 'AA+', 'AA'
'111063', 6.99, 143, 0.0, 'AA', 'AA'
'124313', 6.97, 34, 0.0, 'AA', 'AA'
'122859', 6.96, 220, 0.0, 'AA+', 'AA+'
'124055', 6.96, 246, 0.0, 'AA+', 'AA+'
'122929', 6.95, 218, 0.0, 'AA', 'AA'
'122828', 6.89, 146, 0.0, 'AA+', 'AA'
'122658', 6.86, 68, 0.0, 'AA', 'AA'
'122835', 6.86, 145, 0.0, 'AA+', 'AA'
'122845', 6.86, 178, 11000.0, 'AA+', 'AA+'
'124093', 6.86, 239, 3110.0, 'AA+', 'AA'
'124276', 6.82, 89, 0.0, 'AA', 'AA'
'122593', 6.79, 345, 0.0, 'AA+', 'AA'
'122563', 6.77, 323, 0.0, 'AA+', 'AA'
'124609', 6.76, 122, 0.0, 'AAA', 'AA'
'122648', 6.75, 126, 0.0, 'AA+', 'AA'
'122697', 6.75, 205, 0.0, 'AA', 'AA'
'124229', 6.7, 128, 0.0, 'AA', 'AA'
'122881', 6.68, 213, 0.0, 'AA', 'AA'
'122566', 6.65, 317, 0.0, 'AA+', 'AA'
'111055', 6.63, 70, 990.0, 'AA+', 'AA-'
'111062', 6.58, 321, 240.0, 'AA+', 'AA+'
'122916', 6.55, 137, 0.0, 'AA+', 'AA'
'124758', 6.54, 70, 0.0, 'AA+', 'AA'
