'124735', 6.68, 99, 103.6, 4000.0, 'AA+', 'AA+'
'124037', 6.66, 294, 102.25, 2000.0, 'AA', 'AA'
'124458', 6.66, 231, 106.2, 10000.0, 'AAA', 'AA'
'122836', 6.65, 158, 102.3, 151.0, 'AA', 'AA'
'124122', 6.65, 202, 100.5, 2688.0, 'AA+', 'AA'
'122566', 6.64, 330, 102.88, 6480.0, 'AA+', 'AA'
'122599', 6.64, 4, 101.0, 5357.0, 'AA+', 'AA'
'124435', 6.64, 254, 104.77, 33327.0, 'AA+', 'AA+'
'122505', 6.6, 279, 101.25, 10000.0, 'AA', 'AA'
'124298', 6.57, 69, 98.2, 3000.0, 'AA', 'AA'
'124207', 6.56, 144, 99.2, 5000.0, 'AA', 'AA'
'122768', 6.55, 234, 106.0, 1.0, 'AA+', 'AA'
'122778', 6.55, 282, 105.49, 5937.0, 'AAA', 'AAA'
'122882', 6.54, 225, 101.2, 500.0, 'AA', 'AA'
'122916', 6.54, 150, 102.51, 6269.0, 'AA+', 'AA'
'124096', 6.54, 223, 101.38, 893.0, 'AA', 'AA'
'122564', 6.53, 327, 104.5, 34.0, 'AA', 'AA'
'122827', 6.53, 171, 101.35, 4000.0, 'AA+', 'AA+'
'122709', 6.52, 133, 104.5, 5990.0, 'AA+', 'AA+'
'124588', 6.52, 142, 102.7, 2900.0, 'AA+', 'AA+'
'124323', 6.51, 20, 98.95, 2000.0, 'AA+', 'AA'
'111062', 6.5, 334, 93.5, 9450.0, 'AA+', 'AA+'
'124107', 6.49, 218, 101.7, 1200.0, 'AA', 'AA'
'124050', 6.47, 245, 101.2, 3700.0, 'AA+', 'AA'
'122833', 6.44, 106, 100.99, 1711.0, 'AA', 'AA'
'122964', 6.44, 93, 102.0, 13206.0, 'AA+', 'AA+'
'122680', 6.43, 115, 103.66, 2471.0, 'AA+', 'AA+'
'122911', 6.43, 92, 100.33, 6501.0, 'AA+', 'AA+'
'122801', 6.41, 59, 100.9, 1500.0, 'AA', 'AA'
'122661', 6.39, 137, 104.98, 1.0, 'AA', 'AA'
'122607', 6.38, 103, 103.8, 6332.0, 'AAA', 'AAA'
'122788', 6.38, 53, 102.0, 1500.0, 'AA+', 'AA'
'122854', 6.37, 136, 101.0, 200.0, 'AA', 'AA'
'122819', 6.35, 103, 101.0, 2270.0, 'AA+', 'AA+'
'122921', 6.35, 197, 103.37, 9614.0, 'AA+', 'AA'
'122877', 6.34, 225, 99.8, 17.0, 'AA+', 'AA+'
'122514', 6.33, 288, 99.5, 400.0, 'AAA', 'AA+'
'122274', 6.32, 324, 100.5, 540.0, 'AA', 'AA'
'124128', 6.32, 223, 101.35, 9759.0, 'AA', 'AA'
'122951', 6.29, 41, 100.99, 21348.0, 'AA+', 'AA'
'122842', 6.28, 212, 101.95, 1029.0, 'AA', 'AA'
'124007', 6.28, 270, 100.48, 5600.0, 'AA+', 'AA'
'122846', 6.25, 165, 101.86, 57.0, 'AAA', 'AAA'
'122932', 6.25, 254, 103.3, 20000.0, 'AA+', 'AA'
'122763', 6.24, 219, 106.62, 1528.0, 'AA+', 'AA'
'122802', 6.18, 54, 102.29, 83594.0, 'AA+', 'AA'
'122944', 6.18, 343, 101.52, 388.0, 'AA+', 'AA'
'122609', 6.13, 11, 100.7, 1000.0, 'AA', 'AA+'
'122805', 6.12, 66, 100.9, 4000.0, 'AA', 'AA'
'122902', 6.12, 80, 100.1, 3580.0, 'AA+', 'AA'
'111042', 6.11, 344, 101.9, 63340.0, 'AA+', 'AA'
'122892', 6.08, 339, 100.45, 2181.0, 'AA', 'AA'
'122961', 6.08, 73, 98.5, 2000.0, 'AA+', 'AA+'
'122991', 6.07, 224, 100.5, 566.0, 'AA+', 'AA+'
'122641', 6.06, 59, 100.5, 3000.0, 'AA+', 'AA'
'122865', 6.03, 312, 100.35, 30000.0, 'AA+', 'AA'
'124002', 6.02, 267, 99.4, 3800.0, 'AA+', 'AA+'
'124367', 6.01, 299, 100.4, 15030.0, 'AAA', 'AAA'
