'124333', 6.7, 358, 99.5, 1200.0, 'AA+', 'AA'
'124393', 6.7, 287, 101.29, 93.0, 'AA', 'AA'
'124342', 6.69, 331, 101.0, 2451.0, 'AA+', 'AA'
'124103', 6.68, 204, 101.57, 9854.0, 'AA+', 'AA'
'122563', 6.67, 331, 104.2, 421.0, 'AA+', 'AA'
'122661', 6.67, 132, 104.1, 9.0, 'AA', 'AA'
'124106', 6.67, 220, 101.6, 98.0, 'AA', 'AA+'
'122778', 6.66, 277, 105.0, 12123.0, 'AAA', 'AAA'
'122581', 6.65, 44, 101.19, 5153.0, 'AA', 'AA'
'122593', 6.65, 353, 101.7, 1.0, 'AA+', 'AA'
'122891', 6.61, 334, 98.26, 12004.0, 'AA', 'AA'
'124422', 6.61, 268, 102.4, 5203.0, 'AA', 'AA'
'122804', 6.59, 54, 101.0, 5.0, 'AA', 'AA'
'124086', 6.59, 225, 101.4, 11399.0, 'AA+', 'AA'
'124435', 6.59, 249, 105.0, 7960.0, 'AA+', 'AA+'
'122836', 6.56, 153, 102.58, 155.0, 'AA', 'AA'
'122553', 6.55, 324, 100.6, 1758.0, 'AA+', 'AA'
'122916', 6.55, 145, 102.49, 7546.0, 'AA+', 'AA'
'124207', 6.55, 139, 99.25, 5000.0, 'AA', 'AA'
'124107', 6.54, 213, 101.5, 3500.0, 'AA', 'AA'
'122680', 6.53, 110, 103.35, 3.0, 'AA+', 'AA+'
'124323', 6.52, 15, 98.9, 5001.0, 'AA+', 'AA'
'122599', 6.51, 364, 101.55, 2611.0, 'AA+', 'AA'
'111062', 6.51, 329, 93.45, 280.0, 'AA+', 'AA+'
'124050', 6.49, 240, 101.1, 1000.0, 'AA+', 'AA'
'122837', 6.48, 158, 101.8, 200.0, 'AA+', 'AA+'
'124565', 6.46, 149, 103.3, 499.0, 'AA+', 'AA+'
'112065', 6.46, 140, 97.0, 1072.0, 'AA+', 'AA+'
'122833', 6.44, 101, 101.0, 126.0, 'AA', 'AA'
'122921', 6.44, 192, 103.16, 237963.0, 'AA+', 'AA'
'122922', 6.42, 188, 100.95, 1500.0, 'AA+', 'AA'
'124089', 6.41, 218, 101.0, 60.0, 'AA+', 'AA'
