secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap,Unnamed: 0
002078.XSHE,002078,太阳纸业,XSHE,2006-11-16,16.7,16.7,21.01,22.63,21.0,21.35,39423104.0,846764860.0,35679.0,0.6571,0.1172215641,1281000000.0,5893599436.2,0.2784,,20.8575,8.1399,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2006-11-17,21.35,21.35,20.9,20.9,19.72,20.3,12525934.0,251376656.0,15325.0,0.2088,0.1172215641,1218000000.0,5603750283.6,-0.0492,,19.8317,7.7396,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2006-11-20,20.3,20.3,20.45,21.3,19.9,20.92,9510143.0,196120576.0,13386.0,0.1585,0.1172215641,1255200000.0,5774899307.04,0.0305,,20.4374,7.976,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2006-11-21,20.92,20.92,20.85,21.76,20.56,21.14,6920939.0,147085616.0,9188.0,0.1153,0.1172215641,1268400000.0,5835629605.68,0.0105,,20.6523,8.0599,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2006-11-22,21.14,21.14,20.9,21.08,20.58,20.77,4925497.0,102318992.0,6264.0,0.0821,0.1172215641,1246200000.0,5733492285.24,-0.0175,,20.2909,7.9188,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2006-11-23,20.77,20.77,20.8,20.89,20.3,20.77,4543178.0,93237240.0,5927.0,0.0757,0.1172215641,1246200000.0,5733492285.24,0.0,,20.2909,7.9188,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2006-11-24,20.77,20.77,20.67,20.67,20.28,20.38,3814172.0,77809296.0,4344.0,0.0636,0.1172215641,1222800000.0,5625834028.56,-0.0188,,19.9099,7.7701,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2006-11-27,20.38,20.38,20.35,20.5,20.12,20.34,2992692.0,60649404.0,4144.0,0.0499,0.1172215641,1220400000.0,5614792156.08,-0.002,,19.8708,7.7549,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2006-11-28,20.34,20.34,20.3,20.55,20.06,20.14,3379421.0,68474872.0,4863.0,0.0563,0.1172215641,1208400000.0,5559582793.68,-0.0098,,19.6754,7.6786,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2006-11-29,20.14,20.14,20.08,20.32,19.86,20.15,2822378.0,56702908.0,3809.0,0.047,0.1172215641,1209000000.0,5562343261.8,0.0005,,19.6852,7.6824,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2006-11-30,20.15,20.15,20.22,20.44,20.0,20.24,3532249.0,71404656.0,4136.0,0.0589,0.1172215641,1214400000.0,5587187474.88,0.0045,,19.7731,7.7167,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2006-12-01,20.24,20.24,20.34,20.34,20.02,20.15,3509657.0,70584328.0,4310.0,0.0585,0.1172215641,1209000000.0,5562343261.8,-0.0044,,19.6852,7.6824,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2006-12-04,20.15,20.15,20.21,20.68,20.21,20.45,4226858.0,86668288.0,5083.0,0.0704,0.1172215641,1227000000.0,5645157305.4,0.0149,,19.9783,7.7968,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2006-12-05,20.45,20.45,20.47,20.5,20.26,20.4,3547223.0,72164568.0,3948.0,0.0591,0.1172215641,1224000000.0,5631354964.8,-0.0024,,19.9294,7.7777,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2006-12-06,20.4,20.4,20.4,20.86,20.0,20.77,6887743.0,140972272.0,8231.0,0.1148,0.1172215641,1246200000.0,5733492285.24,0.0181,,20.2909,7.9188,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2006-12-07,20.77,20.77,20.77,20.8,20.31,20.35,3855031.0,79410040.0,4561.0,0.0643,0.1172215641,1221000000.0,5617552624.2,-0.0202,,19.8806,7.7587,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2006-12-08,20.35,20.35,20.23,20.24,19.88,19.88,3821167.0,76603688.0,4621.0,0.0637,0.1172215641,1192800000.0,5487810622.56,-0.0231,,19.4214,7.5795,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2006-12-11,19.88,19.88,19.9,20.14,19.86,20.05,2369300.0,47373984.0,2484.0,0.0395,0.1172215641,1203000000.0,5534738580.6,0.0086,,19.5875,7.6443,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2006-12-12,20.05,20.05,20.06,20.06,19.56,19.57,4008649.0,79114720.0,5141.0,0.0668,0.1172215641,1174200000.0,5402236110.84,-0.0239,,19.1186,7.4613,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2006-12-13,19.57,19.57,19.54,20.18,19.51,19.82,2643033.0,52707916.0,3566.0,0.0441,0.1172215641,1189200000.0,5471247813.84,0.0128,,19.3628,7.5566,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2006-12-14,19.82,19.82,20.0,20.09,19.7,19.81,1960357.0,38818376.0,2421.0,0.0327,0.1172215641,1188600000.0,5468487345.72,-0.0005,,19.352999999999998,7.5528,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2006-12-15,19.81,19.81,19.86,20.02,19.71,19.89,1932271.0,38373340.0,2410.0,0.0322,0.1172215641,1193400000.0,5490571090.68,0.004,,19.4312,7.5833,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2006-12-18,19.89,19.89,19.89,20.15,19.78,19.95,3169549.0,63434464.0,3145.0,0.0528,0.1172215641,1197000000.0,5507133899.4,0.003,,19.4898,7.6062,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2006-12-19,19.95,19.95,20.01,20.49,19.94,20.3,3529474.0,71399840.0,3634.0,0.0588,0.1172215641,1218000000.0,5603750283.6,0.0175,,19.8317,7.7396,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2006-12-20,20.3,20.3,20.3,20.35,19.9,19.96,3148031.0,63013088.0,3565.0,0.0525,0.1172215641,1197600000.0,5509894367.52,-0.0167,,19.4996,7.61,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2006-12-21,19.96,19.96,19.9,20.19,19.78,19.81,1937241.0,38691600.0,2531.0,0.0323,0.1172215641,1188600000.0,5468487345.72,-0.0075,,19.352999999999998,7.5528,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2006-12-22,19.81,19.81,19.79,19.95,19.71,19.76,1362310.0,26952944.0,1768.0,0.0227,0.1172215641,1185600000.0,5454685005.12,-0.0025,,19.3042,7.5337,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2006-12-25,19.76,19.76,19.74,20.09,19.74,19.85,1610651.0,32080986.0,2031.0,0.0268,0.1172215641,1191000000.0,5479529218.2,0.0046,,19.3921,7.568,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2006-12-26,19.85,19.85,19.8,20.04,19.35,19.36,2715574.0,53169028.0,3357.0,0.0453,0.1172215641,1161600000.0,5344266280.32,-0.0247,,18.9134,7.3812,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2006-12-27,19.36,19.36,19.36,19.58,18.92,18.97,2780795.0,53084372.0,4080.0,0.0463,0.1172215641,1138200000.0,5236608023.64,-0.0201,,18.5324,7.2325,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2006-12-28,18.97,18.97,19.0,19.09,18.55,18.73,2578297.0,48289556.0,3479.0,0.043,0.1172215641,1123800000.0,5170356788.76,-0.0127,,18.2979,7.141,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2006-12-29,18.73,18.73,18.95,19.3,18.81,19.05,2171585.0,41432732.0,2788.0,0.0362,0.1172215641,1143000000.0,5258691768.6,0.0171,,18.6106,7.263,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2007-01-04,19.05,19.05,19.52,19.53,18.68,18.74,4072229.0,76983904.0,4118.0,0.0679,0.1172215641,1124400000.0,5173117256.88,-0.0163,,18.3077,7.1448,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2007-01-05,18.74,18.74,18.85,19.2,18.65,19.2,1721955.0,32715298.0,2131.0,0.0287,0.1172215641,1152000000.0,5300098790.4,0.0245,,18.7571,7.3202,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2007-01-08,19.2,19.2,19.45,20.31,19.2,20.3,5565822.0,110647440.0,5688.0,0.0928,0.1172215641,1218000000.0,5603750283.6,0.0573,,19.8317,7.7396,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2007-01-09,20.3,20.3,20.4,21.09,20.4,20.8,6668630.0,138802656.0,5450.0,0.1111,0.1172215641,1248000000.0,5741773689.6,0.0246,,20.3202,7.9302,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2007-01-10,20.8,20.8,20.98,22.88,20.6,22.4,8141253.0,177602160.0,7496.0,0.1357,0.1172215641,1344000000.0,6183448588.8,0.0769,,21.8833,8.5403,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2007-01-11,22.4,22.4,22.5,22.88,21.71,21.88,5271118.0,118436896.0,4111.0,0.0879,0.1172215641,1312800000.0,6039904246.56,-0.0232,,21.3753,8.342,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2007-01-12,21.88,21.88,21.6,22.2,20.8,21.16,5931465.0,126329776.0,3858.0,0.0989,0.1172215641,1269600000.0,5841150541.92,-0.0329,,20.6719,8.0675,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2007-01-15,21.16,21.16,21.32,23.28,21.32,23.28,7740201.0,175690576.0,6349.0,0.129,0.1172215641,1396800000.0,6426369783.36,0.1002,,22.743000000000002,8.8758,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2007-01-16,23.28,23.28,23.77,24.55,23.51,24.0,4984715.0,120495848.0,4499.0,0.0831,0.1172215641,1440000000.0,6625123488.0,0.0309,,23.4464,9.1503,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2007-01-17,24.0,24.0,23.99,24.96,23.81,24.8,5230171.0,128336704.0,4065.0,0.0872,0.1172215641,1488000000.0,6845960937.6,0.0333,,24.2279,9.4553,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2007-01-18,24.8,24.8,24.8,25.0,23.8,24.83,2942665.0,71257616.0,2546.0,0.049,0.1172215641,1489800000.0,6854242341.96,0.0012,,24.2572,9.4667,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2007-01-19,24.83,24.83,24.67,26.0,24.67,25.7,2998276.0,76092720.0,2981.0,0.05,0.1172215641,1542000000.0,7094403068.4,0.035,,25.1072,9.7984,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2007-01-22,25.7,25.7,25.97,26.85,25.97,26.71,3670369.0,96897904.0,2873.0,0.0612,0.1172215641,1602600000.0,7373210348.52,0.0393,,26.0939,10.1835,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2007-01-23,26.71,26.71,26.85,26.85,25.48,26.21,2339237.0,60622260.0,2557.0,0.039,0.1172215641,1572600000.0,7235186942.52,-0.0187,,25.6054,9.9929,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2007-01-24,26.21,26.21,26.5,26.58,25.7,26.58,2317115.0,60768448.0,1999.0,0.0386,0.1172215641,1594800000.0,7337324262.96,0.0141,,25.9669,10.1339,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2007-01-25,26.58,26.58,26.4,27.03,25.6,25.71,2981642.0,78911616.0,2587.0,0.0497,0.1172215641,1542600000.0,7097163536.52,-0.0327,,25.1169,9.8022,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2007-01-26,25.71,25.71,25.4,26.44,24.4,26.1,3159330.0,79869712.0,2651.0,0.0527,0.1172215641,1566000000.0,7204821793.2,0.0152,,25.4979,9.9509,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2007-01-29,26.1,26.1,26.22,28.71,26.22,28.5,3043469.0,84572416.0,3257.0,0.0507,0.1172215641,1710000000.0,7867334142.0,0.092,,27.8426,10.866,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2007-01-30,28.5,28.5,28.37,28.8,27.5,28.54,1459963.0,41223396.0,1765.0,0.0243,0.1172215641,1712400000.0,7878376014.48,0.0014,,27.8816,10.8812,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2007-01-31,28.54,28.54,28.4,28.55,26.61,28.5,2741687.0,76565936.0,2160.0,0.0457,0.1172215641,1710000000.0,7867334142.0,-0.0014,,27.8426,10.866,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2007-02-01,28.5,28.5,27.85,28.45,27.3,28.2,2212071.0,61815024.0,1818.0,0.0369,0.1172215641,1692000000.0,7784520098.4,-0.0105,,27.5495,10.7516,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2007-02-02,28.2,28.2,27.9,28.3,25.88,26.0,2830220.0,76210776.0,2734.0,0.0472,0.1172215641,1560000000.0,7177217112.0,-0.078,,25.4002,9.9128,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2007-02-05,26.0,26.0,25.91,26.8,25.26,26.78,2941535.0,77086008.0,2047.0,0.049,0.1172215641,1606800000.0,7392533625.36,0.03,,26.1622,10.2102,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2007-02-06,26.78,26.78,0.0,0.0,0.0,26.78,0.0,0.0,0.0,0.0,0.1172215641,1606800000.0,7392533625.36,0.0,,26.1622,10.2102,0.0,,
002078.XSHE,002078,太阳纸业,XSHE,2007-02-07,26.78,26.78,27.3,28.18,27.3,28.08,2712306.0,75481184.0,1931.0,0.0452,0.1172215641,1684800000.0,7751394480.96,0.0485,,27.4322,10.7058,1.0,,
002078.XSHE,002078,太阳纸业,XSHE,2007-02-08,28.08,28.08,27.85,29.2,27.66,29.2,3237448.0,91841976.0,1795.0,0.054000000000000006,0.1172215641,1752000000.0,8060566910.4,0.0399,,28.5264,11.1328,1.0,,
