secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap,Unnamed: 0
603288.XSHG,603288,海天味业,XSHG,2014-02-11,51.25,51.25,61.5,73.8,61.5,66.41,9391914.0,622277250.0,14774.0,0.1255,0.2113665193,4970788500.0,49707885000.0,0.2958,30.9433,30.9433,12.6986,1.0,66.257,
603288.XSHG,603288,海天味业,XSHG,2014-02-12,66.41,66.41,71.44,73.05,68.76,73.05,25056720.0,1779847680.0,45181.0,0.3348,0.2113665193,5467792500.0,54677925000.0,0.1,34.0372,34.0372,13.9683,1.0,71.033,
603288.XSHG,603288,海天味业,XSHG,2014-02-13,73.05,73.05,69.0,75.6,68.3,71.92,17223044.0,1252079360.0,31895.0,0.2301,0.2113665193,5383212000.0,53832120000.0,-0.0155,33.5106,33.5106,13.7522,1.0,72.69800000000002,
603288.XSHG,603288,海天味业,XSHG,2014-02-14,71.92,71.92,72.0,75.0,72.0,73.58,9946406.0,733892480.0,20466.0,0.1329,0.2113665193,5507463000.0,55074630000.0,0.0231,34.2841,34.2841,14.0696,1.0,73.785,
603288.XSHG,603288,海天味业,XSHG,2014-02-17,73.58,73.58,73.8,74.19,70.93,72.42,9846295.0,709570820.0,20150.0,0.1315,0.2113665193,5420637000.0,54206370000.0,-0.0158,33.7436,33.7436,13.8478,1.0,72.065,
603288.XSHG,603288,海天味业,XSHG,2014-02-18,72.42,72.42,72.76,77.8,71.6,74.77,13524100.0,1010057150.0,29338.0,0.1807,0.2113665193,5596534500.0,55965345000.0,0.0324,34.8386,34.8386,14.2972,1.0,74.686,
603288.XSHG,603288,海天味业,XSHG,2014-02-19,74.77,74.77,73.51,74.5,71.3,71.82,8323140.0,603810820.0,16355.0,0.1112,0.2113665193,5375727000.0,53757270000.0,-0.0395,33.464,33.464,13.7331,1.0,72.546,
603288.XSHG,603288,海天味业,XSHG,2014-02-20,71.82,71.82,71.7,73.88,71.18,72.06,5854207.0,423802880.0,12093.0,0.0782,0.2113665193,5393691000.0,53936910000.0,0.0033,33.5759,33.5759,13.779000000000002,1.0,72.393,
603288.XSHG,603288,海天味业,XSHG,2014-02-21,72.06,72.06,72.2,72.98,69.87,70.85,5367438.0,382447264.0,11582.0,0.0717,0.2113665193,5303122500.0,53031225000.0,-0.0168,33.0121,33.0121,13.5476,1.0,71.253,
603288.XSHG,603288,海天味业,XSHG,2014-02-24,70.85,70.85,70.05,72.8,69.91,72.65,5130727.0,369393216.0,9608.0,0.0685,0.2113665193,5437852500.0,54378525000.0,0.0254,33.8508,33.8508,13.8918,1.0,71.99600000000002,
603288.XSHG,603288,海天味业,XSHG,2014-02-25,72.65,72.65,72.7,77.76,72.0,72.8,10440556.0,784531330.0,16898.0,0.1395,0.2113665193,5449080000.0,54490800000.0,0.0021,33.9207,33.9207,13.9205,1.0,75.143,
