secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
603127.XSHG,603127,昭衍新药,XSHG,2018-08-03,53.4,53.4,53.5,53.5,50.8,51.16,947065,49085769,2684,0.033,0.5066410899,1468292000,5883123736,-0.0419,63.8535,167.6885,10.8531,1,51.829
603127.XSHG,603127,昭衍新药,XSHG,2018-08-06,51.16,51.16,50.0,50.7,46.04,46.08,1887645,90470205,4010,0.0658,0.5066410899,1322496000,5298951168,-0.0993,57.5131,151.0377,9.7755,1,47.928
603127.XSHG,603127,昭衍新药,XSHG,2018-08-07,46.08,46.08,46.0,48.27,45.0,47.97,1350892,63426051,3307,0.0471,0.5066410899,1376739000,5516290962,0.041,59.8721,157.2326,10.1764,1,46.951
603127.XSHG,603127,昭衍新药,XSHG,2018-08-08,47.97,47.97,47.65,48.4,45.8,45.98,860401,40472557,2280,0.03,0.5066410899,1319626000,5287451708,-0.0415,57.3883,150.7099,9.7543,1,47.039
603127.XSHG,603127,昭衍新药,XSHG,2018-08-09,45.98,45.98,45.6,50.58,45.0,50.58,1560194,76367453,3734,0.0544,0.5066410899,1451646000,5816426868,0.1,63.1296,165.7874,10.7301,1,48.947
603127.XSHG,603127,昭衍新药,XSHG,2018-08-10,50.58,50.58,50.87,51.66,49.31,50.12,1544041,77828778,3786,0.0538,0.5066410899,1438444000,5763529352,-0.0091,62.5555,164.2797,10.6325,1,50.406
603127.XSHG,603127,昭衍新药,XSHG,2018-08-13,50.12,50.12,49.56,51.25,49.32,50.98,939091,47386102,2501,0.0327,0.5066410899,1463126000,5862424708,0.0172,63.6289,167.0985,10.815,1,50.46
603127.XSHG,603127,昭衍新药,XSHG,2018-08-14,50.98,50.98,51.08,52.18,50.35,50.89,942052,48203626,2358,0.0328,0.5066410899,1460543000,5852075194,-0.0018,63.5166,166.8035,10.7959,1,51.169
603127.XSHG,603127,昭衍新药,XSHG,2018-08-15,50.89,50.89,50.75,50.92,49.1,49.49,706279,35072313,2395,0.0246,0.5066410899,1420363000,5691082754,-0.0275,61.7692,162.2147,10.4989,1,49.658
603127.XSHG,603127,昭衍新药,XSHG,2018-08-16,49.49,49.49,48.8,49.95,47.88,48.71,760435,37128219,2218,0.0265,0.5066410899,1397977000,5601386966,-0.0158,60.7957,159.6581,10.3334,1,48.825
