secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap,Unnamed: 0
002475.XSHE,002475,立讯精密,XSHE,2010-09-15,28.8,28.8,35.0,40.0,35.0,39.99,31043424.0,1182485890.0,96907.0,0.8859,0.029655009500000006,1401249600.0,6950262000.0,0.3885,93.7669,68.6403,21.366,1.0,38.091,
002475.XSHE,002475,立讯精密,XSHE,2010-09-16,39.99,39.99,39.99,42.65,39.23,40.49,17125240.0,699813180.0,32139.0,0.4887,0.029655009500000006,1418769600.0,7037162000.0,0.0125,94.9393,69.4985,21.6332,1.0,40.864,
002475.XSHE,002475,立讯精密,XSHE,2010-09-17,40.49,40.49,41.0,41.5,37.81,38.69,11802672.0,467264608.0,21060.0,0.3368,0.029655009500000006,1355697600.0,6724322000.0,-0.0445,90.7187,66.4089,20.6714,1.0,39.59,
002475.XSHE,002475,立讯精密,XSHE,2010-09-20,38.69,38.69,38.5,40.8,37.5,37.63,8596809.0,338151072.0,15407.0,0.2453,0.029655009500000006,1318555200.0,6540094000.0,-0.0274,88.2332,64.5895,20.1051,1.0,39.334,
002475.XSHE,002475,立讯精密,XSHE,2010-09-21,37.63,37.63,36.22,36.6,33.87,35.02,9231356.0,322270112.0,14830.0,0.2635,0.029655009500000006,1227100800.0,6086476000.0,-0.0694,82.1134,60.1096,18.7106,1.0,34.91,
002475.XSHE,002475,立讯精密,XSHE,2010-09-27,35.02,35.02,35.23,36.47,34.67,36.17,5708605.0,203904080.0,8988.0,0.1629,0.029655009500000006,1267396800.0,6286346000.0,0.0328,84.8099,62.0835,19.325,1.0,35.719,
002475.XSHE,002475,立讯精密,XSHE,2010-09-28,36.17,36.17,35.79,36.4,34.77,34.79,4692703.0,166702000.0,7271.0,0.1339,0.029655009500000006,1219041600.0,6046502000.0,-0.0382,81.5741,59.7148,18.5877,1.0,35.524,
002475.XSHE,002475,立讯精密,XSHE,2010-09-29,34.79,34.79,34.3,36.79,33.8,36.28,5172356.0,183316544.0,8892.0,0.1476,0.029655009500000006,1271251200.0,6305464000.0,0.0428,85.0678,62.2723,19.3838,1.0,35.442,
002475.XSHE,002475,立讯精密,XSHE,2010-09-30,36.28,36.28,35.9,38.97,35.6,37.68,5189412.0,194295024.0,9127.0,0.1481,0.029655009500000006,1320307200.0,6548784000.0,0.0386,70.038,67.2541,4.1018,1.0,37.441,
002475.XSHE,002475,立讯精密,XSHE,2010-10-08,37.68,37.68,37.6,39.3,37.2,38.13,4922162.0,188668960.0,7996.0,0.1405,0.029655009500000006,1336075200.0,6626994000.0,0.0119,70.8745,68.0573,4.1508,1.0,38.331,
002475.XSHE,002475,立讯精密,XSHE,2010-10-11,38.13,38.13,37.7,38.2,35.6,35.94,5620211.0,206872928.0,9181.0,0.1604,0.029655009500000006,1259337600.0,6246372000.0,-0.0574,66.8038,64.1484,3.9124,1.0,36.809,
002475.XSHE,002475,立讯精密,XSHE,2010-10-12,35.94,35.94,35.5,36.49,34.69,34.95,5244866.0,184311424.0,7146.0,0.1497,0.029655009500000006,1224648000.0,6074310000.0,-0.0275,64.9636,62.3814,3.8046,1.0,35.141,
002475.XSHE,002475,立讯精密,XSHE,2010-10-13,34.95,34.95,34.65,35.31,34.5,34.99,3089697.0,107798472.0,5239.0,0.0882,0.029655009500000006,1226049600.0,6081262000.0,0.0011,65.038,62.4528,3.8089,1.0,34.89,
002475.XSHE,002475,立讯精密,XSHE,2010-10-14,34.99,34.99,36.08,37.99,35.6,37.01,10791278.0,399084224.0,13507.0,0.308,0.029655009500000006,1296830400.0,6432338000.0,0.0577,68.7927,66.0582,4.0288,1.0,36.982,
002475.XSHE,002475,立讯精密,XSHE,2010-10-15,37.01,37.01,36.1,36.29,35.0,35.05,5898197.0,209804384.0,9476.0,0.1683,0.029655009500000006,1228152000.0,6091690000.0,-0.053,65.1495,62.5598,3.8155,1.0,35.571,
002475.XSHE,002475,立讯精密,XSHE,2010-10-18,35.05,35.05,34.73,34.75,32.24,33.85,3929061.0,132182560.0,6439.0,0.1121,0.029655009500000006,1186104000.0,5883130000.0,-0.0342,62.919,60.418,3.6848,1.0,33.642,
002475.XSHE,002475,立讯精密,XSHE,2010-10-19,33.85,33.85,33.12,36.5,33.12,35.65,4180691.0,148045248.0,6367.0,0.1193,0.029655009500000006,1249176000.0,6195970000.0,0.0532,66.2648,63.6308,3.8808,1.0,35.412,
002475.XSHE,002475,立讯精密,XSHE,2010-10-20,35.65,35.65,35.0,37.0,34.65,36.58,4084616.0,148729424.0,6419.0,0.1166,0.029655009500000006,1281763200.0,6357604000.0,0.0261,67.9934,65.2907,3.982,1.0,36.412,
002475.XSHE,002475,立讯精密,XSHE,2010-10-21,36.58,36.58,36.66,36.98,35.63,35.98,2386292.0,85871504.0,3871.0,0.0681,0.029655009500000006,1260739200.0,6253324000.0,-0.0164,66.8781,64.2198,3.9167,1.0,35.985,
002475.XSHE,002475,立讯精密,XSHE,2010-10-22,35.98,35.98,35.8,36.78,35.65,35.9,2176566.0,78710280.0,3661.0,0.0621,0.029655009500000006,1257936000.0,6239420000.0,-0.0022,66.7294,64.077,3.908,1.0,36.163,
002475.XSHE,002475,立讯精密,XSHE,2010-10-25,35.9,35.9,36.45,37.88,36.45,37.35,3919360.0,146259296.0,6277.0,0.1119,0.029655009500000006,1308744000.0,6491430000.0,0.0404,69.4246,66.6651,4.0659,1.0,37.317,
002475.XSHE,002475,立讯精密,XSHE,2010-10-26,37.35,37.35,37.3,37.37,36.02,36.28,3633322.0,132939440.0,5444.0,0.1037,0.029655009500000006,1271251200.0,6305464000.0,-0.0286,67.4358,64.7552,3.9494,1.0,36.589,
