secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap,Unnamed: 0
603833.XSHG,603833,欧派家居,XSHG,2017-03-28,50.08,50.08,72.12,72.12,72.12,72.12,13633.0,983212.0,25.0,0.0003,0.6977143288,2993701200.0,29936370132.0,0.4401,31.5265,31.5265,10.3872,1.0,72.12,
603833.XSHG,603833,欧派家居,XSHG,2017-03-29,72.12,72.12,79.33,79.33,79.33,79.33,6996.0,554993.0,15.0,0.0002,0.6977143288,3292988300.0,32929176963.0,0.1,34.6783,34.6783,11.4256,1.0,79.33,
603833.XSHG,603833,欧派家居,XSHG,2017-03-30,79.33,79.33,87.26,87.26,87.26,87.26,9696.0,846073.0,22.0,0.0002,0.6977143288,3622162600.0,36220849386.0,0.1,38.1448,38.1448,12.5678,1.0,87.26,
603833.XSHG,603833,欧派家居,XSHG,2017-03-31,87.26,87.26,95.99,95.99,95.99,95.99,60525.0,5809795.0,107.0,0.0015,0.6977143288,3984544900.0,39844594689.0,0.1,41.96100000000001,41.96100000000001,13.8251,1.0,95.99,
603833.XSHG,603833,欧派家居,XSHG,2017-04-05,95.99,95.99,105.59,105.59,105.59,105.59,175453.0,18526082.0,302.0,0.0042,0.6977143288,4383040900.0,43829469249.0,0.1,46.1576,46.1576,15.2078,1.0,105.59,
603833.XSHG,603833,欧派家居,XSHG,2017-04-06,105.59,105.59,110.0,116.15,105.6,116.15,13385729.0,1505257116.0,36610.0,0.3225,0.6977143288,4821386500.0,48212831265.0,0.1,50.7738,50.7738,16.7287,1.0,112.452,
603833.XSHG,603833,欧派家居,XSHG,2017-04-07,116.15,116.15,119.6,125.18,112.42,113.99,14809769.0,1761114544.0,53176.0,0.3568,0.6977143288,4731724900.0,47316234489.0,-0.0186,49.8295,49.8295,16.4176,1.0,118.916,
603833.XSHG,603833,欧派家居,XSHG,2017-04-10,113.99,113.99,109.0,117.02,108.01,114.99,9094744.0,1030472157.0,32248.0,0.2191,0.6977143288,4773234900.0,47731325589.0,0.0088,50.2667,50.2667,16.5616,1.0,113.304,
603833.XSHG,603833,欧派家居,XSHG,2017-04-11,114.99,114.99,111.2,114.2,106.0,108.76,7565538.0,831264915.0,28039.0,0.1823,0.6977143288,4514627600.0,45145308036.0,-0.0542,47.5433,47.5433,15.6643,1.0,109.875,
603833.XSHG,603833,欧派家居,XSHG,2017-04-12,108.76,108.76,110.11,110.99,101.38,102.21,6564538.0,697542329.0,24005.0,0.1581,0.6977143288,4242737100.0,42426461331.0,-0.0602,44.68,44.68,14.720999999999998,1.0,106.259,
603833.XSHG,603833,欧派家居,XSHG,2017-04-13,102.21,102.21,100.1,107.26,100.06,105.93,6081405.0,640546960.0,20675.0,0.1465,0.6977143288,4397154300.0,43970600223.0,0.0364,46.3062,46.3062,15.2567,1.0,105.329,
603833.XSHG,603833,欧派家居,XSHG,2017-04-14,105.93,105.93,104.4,105.3,102.4,102.94,2960211.0,306631985.0,10487.0,0.0713,0.6977143288,4273039400.0,42729477834.0,-0.0282,44.9991,44.9991,14.8261,1.0,103.585,
603833.XSHG,603833,欧派家居,XSHG,2017-04-17,102.94,102.94,99.62,105.32,99.1,104.06,3959694.0,409989247.0,12848.0,0.0954,0.6977143288,4319530600.0,43194379866.0,0.0109,45.4887,45.4887,14.9874,1.0,103.541,
603833.XSHG,603833,欧派家居,XSHG,2017-04-18,104.06,104.06,104.36,109.9,104.08,106.2,3908021.0,420215308.0,15324.0,0.0941,0.6977143288,4408362000.0,44082674820.0,0.0206,46.4242,46.4242,15.2956,1.0,107.526,
603833.XSHG,603833,欧派家居,XSHG,2017-04-19,106.2,106.2,105.48,109.31,104.2,107.62,3153389.0,338806751.0,11178.0,0.076,0.6977143288,4467306200.0,44672104182.0,0.0134,47.045,47.045,15.5001,1.0,107.442,
603833.XSHG,603833,欧派家居,XSHG,2017-04-20,107.62,107.62,107.68,110.7,105.22,106.56,3898162.0,422196815.0,13812.0,0.0939,0.6977143288,4423305600.0,44232107616.0,-0.0098,46.5816,46.5816,15.3475,1.0,108.307,
603833.XSHG,603833,欧派家居,XSHG,2017-04-21,106.56,106.56,105.8,107.8,103.85,106.02,2580943.0,273342895.0,8855.0,0.0622,0.6977143288,4400890200.0,44007958422.0,-0.0051,46.3455,46.3455,15.2697,1.0,105.908,
603833.XSHG,603833,欧派家居,XSHG,2017-04-24,106.02,106.02,104.97,107.79,102.11,106.59,2602540.0,275368335.0,8618.0,0.0627,0.6977143288,4424550900.0,44244560349.0,0.0054,46.5947,46.5947,15.3518,1.0,105.808,
603833.XSHG,603833,欧派家居,XSHG,2017-04-25,106.59,106.59,106.11,108.68,106.11,107.39,1681142.0,180952297.0,6377.0,0.0405,0.6977143288,4457758900.0,44576633229.0,0.0075,46.9444,46.9444,15.467,1.0,107.637,
603833.XSHG,603833,欧派家居,XSHG,2017-04-26,107.39,107.39,107.0,110.5,106.41,109.42,2448988.0,267940353.0,9075.0,0.059,0.6977143288,4542024200.0,45419268162.0,0.0189,47.8318,47.8318,15.7594,1.0,109.409,
603833.XSHG,603833,欧派家居,XSHG,2017-04-27,109.42,109.42,108.93,109.71,105.12,108.47,1995546.0,214513847.0,8099.0,0.0481,0.6977143288,4502589700.0,45024931617.0,-0.0087,47.4165,47.4165,15.6226,1.0,107.496,
603833.XSHG,603833,欧派家居,XSHG,2017-04-28,108.47,108.47,108.11,109.8,104.88,105.58,2116302.0,226460689.0,7856.0,0.051,0.6977143288,4382625800.0,43825318338.0,-0.0266,46.1532,46.1532,15.2063,1.0,107.008,
603833.XSHG,603833,欧派家居,XSHG,2017-05-02,105.58,105.58,0.0,0.0,0.0,105.58,0.0,0.0,0.0,0.0,0.6977143288,4382625800.0,43825318338.0,0.0,45.4886,197.3368,8.863999999999997,0.0,0.0,
603833.XSHG,603833,欧派家居,XSHG,2017-05-03,105.58,105.58,0.0,0.0,0.0,105.58,0.0,0.0,0.0,0.0,0.6977143288,4382625800.0,43825318338.0,0.0,45.4886,197.3368,8.863999999999997,0.0,0.0,
603833.XSHG,603833,欧派家居,XSHG,2017-05-04,105.58,105.58,0.0,0.0,0.0,105.58,0.0,0.0,0.0,0.0,0.6977143288,4382625800.0,43825318338.0,0.0,45.4886,197.3368,8.863999999999997,0.0,0.0,
603833.XSHG,603833,欧派家居,XSHG,2017-05-05,105.58,105.58,0.0,0.0,0.0,105.58,0.0,0.0,0.0,0.0,0.6977143288,4382625800.0,43825318338.0,0.0,45.4886,197.3368,8.863999999999997,0.0,0.0,
603833.XSHG,603833,欧派家居,XSHG,2017-05-08,105.58,105.58,0.0,0.0,0.0,105.58,0.0,0.0,0.0,0.0,0.6977143288,4382625800.0,43825318338.0,0.0,45.4886,197.3368,8.863999999999997,0.0,0.0,
603833.XSHG,603833,欧派家居,XSHG,2017-05-09,105.58,105.58,0.0,0.0,0.0,105.58,0.0,0.0,0.0,0.0,0.6977143288,4382625800.0,43825318338.0,0.0,45.4886,197.3368,8.863999999999997,0.0,0.0,
603833.XSHG,603833,欧派家居,XSHG,2017-05-10,105.58,105.58,104.0,110.0,101.31,106.64,3756781.0,402813977.0,10670.0,0.0905,0.6977143288,4426626400.0,44265314904.0,0.01,45.9453,199.318,8.953,1.0,107.223,
603833.XSHG,603833,欧派家居,XSHG,2017-05-11,106.64,106.64,105.0,106.64,104.0,105.15,1718809.0,181195649.0,5028.0,0.0414,0.6977143288,4364776500.0,43646829165.0,-0.014,45.3033,196.5331,8.8279,1.0,105.419,
603833.XSHG,603833,欧派家居,XSHG,2017-05-12,105.15,105.15,105.05,106.33,102.21,103.86,1594782.0,166587962.0,5110.0,0.0384,0.6977143288,4311228600.0,43111361646.0,-0.0123,44.7475,194.122,8.7196,1.0,104.458,
603833.XSHG,603833,欧派家居,XSHG,2017-05-15,103.86,103.86,103.6,106.19,103.6,105.19,1385008.0,146146991.0,4601.0,0.0334,0.6977143288,4366436900.0,43663432809.0,0.0128,45.3206,196.6079,8.8312,1.0,105.521,
