secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
605168.XSHG,605168,三人行,XSHG,2020-05-28,60.62,60.62,72.74,87.29,72.74,87.29,100963,8769410,155,0.0058,0.9948941469,1507210243,6028832243,0.44,27.5585,37.2865,14.4639,1,86.858
605168.XSHG,605168,三人行,XSHG,2020-05-29,87.29,87.29,96.02,96.02,96.02,96.02,54705,5252774,99,0.0032,0.9948941469,1657948534,6631784534,0.1,30.3146,41.0156,15.9105,1,96.02
605168.XSHG,605168,三人行,XSHG,2020-06-01,96.02,96.02,105.62,105.62,105.62,105.62,50279,5310468,96,0.0029,0.9948941469,1823708854,7294824854,0.1,33.3454,45.1163,17.5012,1,105.62
605168.XSHG,605168,三人行,XSHG,2020-06-02,105.62,105.62,116.18,116.18,116.18,116.18,43087,5005848,91,0.0025,0.9948941469,2006045206,8024169206,0.1,36.6794,49.6271,19.251,1,116.18
605168.XSHG,605168,三人行,XSHG,2020-06-03,116.18,116.18,127.8,127.8,127.8,127.8,94711,12104066,214,0.0055,0.9948941469,2206684260,8826724260,0.1,40.3479,54.5907,21.1764,1,127.8
605168.XSHG,605168,三人行,XSHG,2020-06-04,127.8,127.8,140.58,140.58,140.58,140.58,68004,9560002,169,0.0039,0.9948941469,2427352686,9709396686,0.1,44.3827,60.0497,23.2941,1,140.58
605168.XSHG,605168,三人行,XSHG,2020-06-05,140.58,140.58,154.64,154.64,154.64,154.64,128658,19895673,303,0.0075,0.9948941469,2670122488,10680474488,0.1,48.8216,66.0556,25.6238,1,154.64
605168.XSHG,605168,三人行,XSHG,2020-06-08,154.64,154.64,170.1,170.1,170.1,170.1,113116,19241032,294,0.0066,0.9948941469,2937065670,11748245670,0.1,53.7025,72.6594,28.1855,1,170.1
605168.XSHG,605168,三人行,XSHG,2020-06-09,170.1,170.1,187.11,187.11,187.11,187.11,83800,15679818,227,0.0049,0.9948941469,3230772237,12923070237,0.1,59.0728,79.9254,31.0041,1,187.11
605168.XSHG,605168,三人行,XSHG,2020-06-10,187.11,187.11,205.82,205.82,190.0,205.82,11893248,2427247885,23640,0.6888,0.9948941469,3553832194,14215308194,0.1,64.9797,87.9175,34.1043,1,204.086
605168.XSHG,605168,三人行,XSHG,2020-06-11,205.82,205.82,210.0,226.4,205.88,226.4,6707733,1446005469,14031,0.3885,0.9948941469,3909180880,15636700880,0.1,71.4771,96.7084,37.5145,1,215.573
605168.XSHG,605168,三人行,XSHG,2020-06-12,226.4,226.4,249.04,249.04,249.04,249.04,278000,69233120,854,0.0161,0.9948941469,4300098968,17200370968,0.1,78.6248,106.3792,41.2659,1,249.04
605168.XSHG,605168,三人行,XSHG,2020-06-15,249.04,249.04,273.94,273.94,263.93,273.94,4163477,1139603133,7441,0.2411,0.9948941469,4730039798,18920131798,0.1,86.486,117.0154,45.3918,1,273.714
605168.XSHG,605168,三人行,XSHG,2020-06-16,273.94,273.94,278.0,285.0,265.9,281.7,6828853,1891996272,26682,0.3955,0.9948941469,4864029390,19456089390,0.0283,88.9359,120.3301,46.6777,1,277.059
605168.XSHG,605168,三人行,XSHG,2020-06-17,281.7,281.7,275.0,287.99,269.31,286.99,5204692,1444722516,21939,0.3014,0.9948941469,4955370233,19821452233,0.0188,90.606,122.5898,47.5542,1,277.581
605168.XSHG,605168,三人行,XSHG,2020-06-18,286.99,286.99,285.0,292.0,258.8,260.19,5572813,1518026452,24329,0.3227,0.9948941469,4492622673,17970464673,-0.0934,82.145,111.142,43.1135,1,272.399
