secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap,Unnamed: 0
688002.XSHG,688002,睿创微纳,XSHG,2019-07-22,20.0,20.0,59.1,60.28,30.0,50.2,41500370.0,1895110931.0,71518.0,0.8048,0.9989973903,2588738700.0,22339000000.0,1.51,141.4265,172.6621,20.8653,1.0,45.665,
688002.XSHG,688002,睿创微纳,XSHG,2019-07-23,50.2,50.2,40.16,47.5,40.01,43.89,16246441.0,721188128.0,28876.0,0.315,0.9989973903,2263341465.0,19531050000.0,-0.1257,123.6496,150.9589,18.2426,1.0,44.39100000000001,
688002.XSHG,688002,睿创微纳,XSHG,2019-07-24,43.89,43.89,43.9,46.97,43.9,46.72,15037043.0,688141059.0,25066.0,0.2916,0.9989973903,2409280320.0,20790400000.0,0.0645,131.6224,160.6927,19.4189,1.0,45.76300000000001,
688002.XSHG,688002,睿创微纳,XSHG,2019-07-25,46.72,46.72,48.0,51.32,47.62,49.07,19287488.0,951617782.0,32308.0,0.374,0.9989973903,2530466295.0,21836150000.0,0.0503,138.243,168.7755,20.3956,1.0,49.339,
688002.XSHG,688002,睿创微纳,XSHG,2019-07-26,49.07,49.07,48.2,48.2,45.05,45.23,12340658.0,574374970.0,21169.0,0.2393,0.9989973903,2332443255.0,20127350000.0,-0.0783,127.4247,155.5678,18.7995,1.0,46.543,
688002.XSHG,688002,睿创微纳,XSHG,2019-07-29,45.23,45.23,45.97,50.2,45.78,50.2,15455151.0,746167792.0,25050.0,0.2997,0.9989973903,2588738700.0,22339000000.0,0.1099,141.4265,172.6621,20.8653,1.0,48.28,
688002.XSHG,688002,睿创微纳,XSHG,2019-07-30,50.2,50.2,50.7,51.75,48.66,50.41,17942122.0,906197383.0,27830.0,0.3479,0.9989973903,2599568085.0,22432450000.0,0.0042,142.0181,173.3844,20.9526,1.0,50.507,
688002.XSHG,688002,睿创微纳,XSHG,2019-07-31,50.41,50.41,50.8,52.88,49.82,51.93,15872475.0,818352969.0,24647.0,0.3078,0.9989973903,2677952205.0,23108850000.0,0.0302,146.3003,178.6124,21.5844,1.0,51.558,
688002.XSHG,688002,睿创微纳,XSHG,2019-08-01,51.93,51.93,52.5,57.7,52.03,57.6,22384236.0,1232565026.0,34456.0,0.4341,0.9989973903,2970345600.0,25632000000.0,0.1092,162.2742,198.1142,23.941,1.0,55.06399999999999,
688002.XSHG,688002,睿创微纳,XSHG,2019-08-02,57.6,57.6,62.0,69.12,60.88,69.12,29420620.0,1954908774.0,39392.0,0.5705,0.9989973903,3564414720.0,30758400000.0,0.2,194.729,237.7371,28.7293,1.0,66.447,
